Energy(eV),eps1,eps2,n,kappa,alpha(cm^-1)
1.161040458546142240e+00,2.507119417260152832e+18,8.465333465890646400e+16,1.583614156745000601e+09,2.672789148112301156e+07,3.145252953042454590e+12
1.168382486764788730e+00,2.522178052013112832e+18,9.169949969517801600e+16,1.588398962020249605e+09,2.886538643243204430e+07,3.418266668198649902e+12
1.175724514983435220e+00,2.540478768950616064e+18,9.953407820672766400e+16,1.594193624686601162e+09,3.121768794750360772e+07,3.720059057108173828e+12
1.183066543202081711e+00,2.555039266614758400e+18,1.081644141438649760e+17,1.598806900697451830e+09,3.382660348059414327e+07,4.056122764299655273e+12
1.190408571420727979e+00,2.573384584150255616e+18,1.175864325334341440e+17,1.604595622509620667e+09,3.664051892075154185e+07,4.420803248472842773e+12
1.197750599639374469e+00,2.587127785883403776e+18,1.278130196497878560e+17,1.608945438676029444e+09,3.971950091575753689e+07,4.821850104596991211e+12
1.205092627858020959e+00,2.605170639749263360e+18,1.387729009275528800e+17,1.614626080027505636e+09,4.297369609104583412e+07,5.248880235467068359e+12
1.212434656076667450e+00,2.617803916036113408e+18,1.504471552160267200e+17,1.618630196134635687e+09,4.647360328977748007e+07,5.710948104983578125e+12
1.219776684295313940e+00,2.635221540106477568e+18,1.627848374655761280e+17,1.624109929335253477e+09,5.011509212686174363e+07,6.195728612765166016e+12
1.227118712513960430e+00,2.646500017331601920e+18,1.757236021492719360e+17,1.627701985863953352e+09,5.397904643336842209e+07,6.713597689322916016e+12
1.234460740732606920e+00,2.662973780412263424e+18,1.891902960098885120e+17,1.632890013175025225e+09,5.793112043168728799e+07,7.248242862373058594e+12
1.241802768951253411e+00,2.672723903033830400e+18,2.031022049227404800e+17,1.636024700093890905e+09,6.207186386338982731e+07,7.812516290203837891e+12
1.249144797169899901e+00,2.687989094242049024e+18,2.173683304624113280e+17,1.640846241611982822e+09,6.623665427933920175e+07,8.385996880212566406e+12
1.256486825388546391e+00,2.696135752043436544e+18,2.318915391165659520e+17,1.643506235423655510e+09,7.054781238989035785e+07,8.984315948672306641e+12
